status,pref,name_ja,slug_or_hint1,matched_existing_name_or_hint2,matched_via_or_reason
existing,新潟県,三条カレーラーメン,sanjo-curry,三条カレーラーメン,exact
existing,富山県,富山ブラックラーメン,toyama-black,富山ブラック,表記ゆれ(富山ブラック)
existing,福井県,敦賀ラーメン,tsuruga,敦賀ラーメン,exact
existing,長野県,安養寺ラーメン,anyoji,安養寺ラーメン,exact
existing,長野県,ローメン,ina-romen,伊那ローメン,地名ゆれ(伊那ローメン)
existing,岐阜県,高山ラーメン,takayama,高山ラーメン,exact
existing,静岡県,富士つけナポリタン,tsuke-napolitan,つけナポリタン,地名ゆれ(つけナポリタン)
existing,愛知県,台湾ラーメン,taiwan-ramen,台湾ラーメン,exact
existing,愛知県,台湾まぜそば,taiwan-mazesoba,台湾まぜそば,exact
existing,茨城県,スタミナラーメン,hitachinaka-stamina,スタミナラーメン,exact
existing,茨城県,下館ラーメン,shimodate,下館ラーメン,exact
existing,栃木県,佐野ラーメン,sano,佐野ラーメン,exact
existing,栃木県,スープ入り焼きそば,soup-yakisoba,スープ入り焼きそば,exact(既に別ジャンルで収録済み)
existing,群馬県,藤岡ラーメン,fujioka,藤岡ラーメン,exact
existing,千葉県,竹岡式ラーメン,takeoka,竹岡式ラーメン,exact
existing,千葉県,勝浦タンタンメン,katsuura-tantan,勝浦タンタンメン,exact
existing,千葉県,小見川カレー焼きそば,omigawa-curry-yakisoba,小見川カレー焼きそば,exact
existing,東京都,東京ラーメン,tokyo,東京ラーメン,exact
existing,東京都,八王子ラーメン,hachioji,八王子ラーメン,exact
existing,神奈川県,サンマーメン,sanmamen,サンマーメン,exact
existing,神奈川県,ニュータンタンメン,kawasaki-new-tantan,ニュータンタンメン,exact
existing,鳥取県,鳥取牛骨ラーメン,tottori-gyukotsu,鳥取牛骨ラーメン,exact
existing,岡山県,笠岡ラーメン,kasaoka,笠岡ラーメン,exact
existing,広島県,広島ラーメン,hiroshima,広島ラーメン,exact
existing,広島県,尾道ラーメン,onomichi,尾道ラーメン,exact
existing,広島県,呉冷麺,kure-reimen,呉冷麺,exact(既に別ジャンルで収録済み)
existing,徳島県,徳島ラーメン,tokushima,徳島ラーメン,exact
existing,愛媛県,八幡浜ちゃんぽん,yawatahama-champon,八幡浜ちゃんぽん,exact(既に別ジャンルで収録済み)
existing,高知県,須崎鍋焼きラーメン,nabeyaki-susaki,鍋焼きラーメン,地名ゆれ(鍋焼きラーメン)
existing,福岡県,博多ラーメン,hakata,博多ラーメン,exact
existing,福岡県,久留米ラーメン,kurume,久留米ラーメン,exact
existing,福岡県,戸畑ちゃんぽん,tobata-champon,戸畑ちゃんぽん,exact(既に別ジャンルで収録済み)
existing,佐賀県,佐賀ラーメン,saga,佐賀ラーメン,exact
existing,長崎県,長崎ちゃんぽん,nagasaki-champon,長崎ちゃんぽん,exact(既に別ジャンルで収録済み)
existing,熊本県,熊本ラーメン,kumamoto,熊本ラーメン,exact
existing,熊本県,太平燕,taipiien,太平燕,exact(既に別ジャンルで収録済み)
existing,大分県,別府冷麺,beppu-reimen,別府冷麺,exact(既に別ジャンルで収録済み)
existing,宮崎県,宮崎ラーメン,miyazaki,宮崎ラーメン,exact
existing,鹿児島県,鹿児島ラーメン,kagoshima,鹿児島ラーメン,exact
existing,沖縄県,沖縄そば,naha-soba,沖縄そば,exact(既に別ジャンルで収録済み)
existing,京都府,京都ラーメン,kyoto,京都ラーメン,exact
existing,大阪府,高井田系ラーメン,takaida,高井田ラーメン,表記ゆれ(高井田ラーメン、「系」の有無)
existing,兵庫県,播州ラーメン,banshu,播州ラーメン,exact
existing,奈良県,天理ラーメン,tenri,天理ラーメン,exact
existing,和歌山県,和歌山ラーメン,wakayama,和歌山ラーメン,exact
missing,北海道,上川ラーメン,上川町,,
missing,北海道,天ぷらラーメン,,天ぷらをのせたラーメン(苫小牧・室蘭周辺など),
missing,北海道,中標津ミルキーラーメン,中標津町,牛乳・生クリームを使ったミルキーな塩ラーメン,
missing,北海道,オホーツク干貝柱ラーメン,オホーツク海沿岸(紋別・網走周辺),干し貝柱だしのラーメン,
missing,北海道,旭川ホルメン,旭川市,ホルモンを使った旭川のご当地麺,
missing,北海道,ガタタンラーメン,深川市,片栗粉でとろみをつけた中華風スープのラーメン,
missing,北海道,稚内ラーメン,稚内市,,
missing,北海道,利尻ラーメン,利尻島,利尻昆布だしの塩ラーメン,
missing,青森県,濃厚津軽煮干しラーメン,津軽地方,煮干し(にぼし)を効かせた濃厚系ラーメン,
missing,青森県,しじみラーメン,十三湖周辺,しじみだしのラーメン,
missing,岩手県,釜石ラーメン,釜石市,細ちぢれ麺のあっさり系ラーメン,
missing,岩手県,五穀ラーメン,,,
missing,岩手県,三陸磯ラーメン,三陸沿岸,磯の海産物を使った醤油ラーメン,
missing,秋田県,江戸系ラーメン,横手市周辺,,
missing,秋田県,稲庭中華そば,湯沢市稲庭周辺,稲庭うどんの技法を応用した中華そば,
missing,秋田県,かつラーメン,,とんかつをのせたラーメン,
missing,秋田県,秋田天ぷら中華,,天ぷらをのせた中華そば,
missing,山形県,からみそラーメン,,辛味噌ベースのラーメン,
missing,山形県,鳥中華,山形市周辺,そば店発祥、鶏がらだしの中華そば,
missing,山形県,鶴岡節系ラーメン,鶴岡市,鶏節・魚節を効かせた醤油ラーメン(あつみ・我隨など),
missing,山形県,馬肉チャーシューラーメン,河北町周辺,馬肉をチャーシュー代わりに使う山形の醤油ラーメン,
missing,山形県,肉中華,,牛肉を具材にした山形の中華そば,
missing,福島県,会津ラーメン,会津若松市,手打ち・平打ち縮れ麺の醤油ラーメン,
missing,福島県,奥州郡山とんこつラーメン,郡山市,とんこつ系ラーメン,
missing,福島県,会津野沢宿味噌ラーメン,会津・野沢宿(西会津町),味噌ラーメン,
missing,福島県,福島鶏白湯,福島市周辺,鶏白湯スープのラーメン,
missing,新潟県,新潟あっさり醤油ラーメン,新潟市周辺,あっさり醤油のラーメン,
missing,新潟県,新潟濃厚味噌ラーメン,新潟市周辺,濃厚味噌ラーメン,
missing,新潟県,三条っ子ラーメン,三条市,三条カレーラーメンと並ぶご当地系,
missing,新潟県,見附へそラーメン,見附市,見附の郷土菓子「へそ大根」にちなむご当地ラーメン,
missing,新潟県,上越とん汁ラーメン,上越市,豚汁風の具沢山ラーメン,
missing,新潟県,もつラーメン,新潟県,もつを使ったラーメン,
missing,新潟県,冷丼,新潟県中越地方,冷やし中華丼系のご当地グルメ,
missing,新潟県,上越味噌ラーメン,上越市,,
missing,新潟県,麻婆ラーメン,新潟県,麻婆豆腐風ラーメン,
missing,新潟県,上越雪むろ酒かすラーメン,上越市,雪室貯蔵の酒粕を使った味噌ラーメン,
missing,富山県,入善ブラウンラーメン,入善町,富山ブラックの対となる薄口醤油ラーメン,
missing,富山県,高岡グリーンラーメン,高岡市,ニラなど青野菜を効かせたラーメン,
missing,富山県,おやべホワイトラーメン,小矢部市,白味噌ベースの白いラーメン,
missing,石川県,UFOラーメン,羽咋市周辺,UFO関連で町おこしのご当地ラーメン,
missing,石川県,加賀味噌ラーメン,加賀地方,味噌ラーメン,
missing,福井県,たけふ駅前中華そば,越前市(武生),2025年NEW掲載,
missing,山梨県,平打ちタンメン,,平打ち麺のタンメン,
missing,山梨県,甲州地どりラーメン,,甲州地どりを使ったラーメン,
missing,山梨県,やまなし源水ラーメン,,富士山の伏流水を使ったラーメン,
missing,長野県,王様中華そば,,,
missing,長野県,信州味噌ラーメン,長野県,信州味噌を使ったラーメン,
missing,岐阜県,神岡ラーメン,飛騨市神岡町,高山ラーメンに似た細ちぢれ麺の醤油ラーメン,
missing,静岡県,溶き味噌ラーメン,静岡市周辺,味噌を溶き入れるスタイルのラーメン,
missing,静岡県,清水もつカレーラーメン,静岡市清水区,もつとカレー風味のラーメン,
missing,静岡県,志太系ラーメン,藤枝市・焼津市周辺,豚骨清湯の醤油ラーメン,
missing,愛知県,好来系ラーメン,名古屋市,台湾ラーメン発祥店系列のとんこつ醤油ラーメン,
missing,愛知県,ベトコンラーメン,一宮市周辺,ニンニク・もやし・唐辛子の効いたスタミナラーメン,
missing,愛知県,玉子とじラーメン,愛知県三河地方,卵でとじたあんかけ風ラーメン,
missing,三重県,亀山ラーメン,亀山市,,
missing,茨城県,水戸藩ラーメン,水戸市,黄門様ゆかりを謳うご当地ラーメン,
missing,茨城県,豆腐味噌ラーメン,,豆腐を使った味噌ラーメン,
missing,栃木県,夕顔ラーメン,鹿沼市周辺,夕顔(かんぴょうの原料)を具材にしたラーメン,
missing,群馬県,東毛手延べラーメン,群馬県東毛地域,手延べ麺を使ったラーメン,
missing,千葉県,アリランラーメン,,韓国風の辛味ラーメン,
missing,千葉県,船橋ソースラーメン,船橋市,ソース味のラーメン,
missing,千葉県,もばらーめん,茂原市,,
missing,千葉県,ホワイトガウラーメン,,白湯系ラーメン,
missing,埼玉県,スタミナラーメン,,野菜あんかけのスタミナラーメン,
missing,埼玉県,豆腐ラーメン,,豆腐を使ったラーメン,
missing,埼玉県,酒粕味噌ラーメン,,酒粕を効かせた味噌ラーメン,
missing,埼玉県,茶ラーメン,狭山市周辺,狭山茶を練り込んだ麺のラーメン,
missing,東京都,荻窪ラーメン,東京都杉並区荻窪,醤油ラーメンの名店集積地,
missing,東京都,油そば,東京都武蔵野市周辺,スープを張らず油だれで和える麺,
missing,東京都,つけ麺,東京都,,
missing,東京都,背脂ラーメン,東京都,背脂チャッチャ系ラーメン,
missing,神奈川県,家系ラーメン,横浜市,豚骨醤油+鶏油の濃厚ラーメン,
missing,神奈川県,平塚系タンメン,平塚市,野菜たっぷりの塩・醤油タンメン,
missing,神奈川県,小田原系ラーメン,小田原市,,
missing,神奈川県,三崎まぐろラーメン,三浦市三崎,まぐろだしを使ったラーメン,
missing,神奈川県,小田原タンタン麺,小田原市,,
missing,神奈川県,神奈川淡麗系,,淡麗系スープのラーメン,
missing,神奈川県,アホーメン,,,
missing,鳥取県,素ラーメン,鳥取県,シンプルな中華そば,
missing,島根県,しじみラーメン,宍道湖周辺,しじみだしのラーメン,
missing,島根県,松江ラーメン,松江市,,
missing,岡山県,岡山ラーメン,岡山市,,
missing,岡山県,トンカツラーメン,岡山県,とんかつをのせたラーメン,
missing,岡山県,新見ラーメン,新見市,,
missing,広島県,広島つけ麺,広島市,辛味だれのつけ麺,
missing,広島県,汁無し担々麺,広島市,汁なし坦々麺,
missing,広島県,広島牡蠣ラーメン,広島県,牡蠣だしを使ったラーメン(2025年NEW),
missing,山口県,宇部ラーメン,宇部市,,
missing,山口県,下松牛骨ラーメン,下松市,牛骨スープの醤油ラーメン,
missing,山口県,瀬戸内ラーメンいりこそば,,煮干し(いりこ)だしのラーメン,
missing,愛媛県,松山瓢系ラーメン,松山市,豚骨醤油の「瓢箪(ひさご)」系ラーメン,
missing,愛媛県,今治ラーメン,今治市,極細麺のとんこつ醤油ラーメン,
missing,高知県,みそカツラーメン,,味噌カツ風味のラーメン,
missing,高知県,中日そば,高知県中西部,中華そば系の郷土麺,
missing,福岡県,長浜ラーメン,福岡市長浜,博多とんこつラーメンのルーツ、極細麺豚骨,
missing,福岡県,焼きラーメン,北九州市小倉,焼きそば風の炒めラーメン,
missing,福岡県,ちゃんらー,北九州市,ちゃんぽんとラーメンの中間的なご当地麺,
missing,佐賀県,マジェンバ,佐賀県,太麺・野菜たっぷりの中華そば,
missing,長崎県,あごだしラーメン,長崎県,飛魚(あご)だしのラーメン,
missing,熊本県,玉名ラーメン,玉名市,久留米系から派生した豚骨ラーメン,
missing,大分県,佐伯ラーメン,佐伯市,極細麺のあっさり醤油ラーメン,
missing,宮崎県,宮崎辛麺,宮崎県,唐辛子と極細春雨のピリ辛ラーメン,
missing,鹿児島県,串木野まぐろラーメン,いちき串木野市,まぐろだしを使ったラーメン,
missing,鹿児島県,枕崎かつおラーメン,枕崎市,鰹節だしを効かせたラーメン,
missing,沖縄県,ちゅら塩ラーメン,沖縄県,沖縄の塩を使った塩ラーメン,
missing,京都府,京風ラーメン,京都市,,
missing,京都府,キーシマ,京都府,背脂の効いた濃厚醤油ラーメン,
missing,大阪府,大阪ライト豚骨,大阪府,あっさり系豚骨ラーメン,
missing,兵庫県,神戸ラーメン,神戸市,,
missing,兵庫県,えきそば,兵庫県(姫路駅等),和風だしに中華麺を合わせた立ち食いそば,
missing,兵庫県,播州赤穂塩ラーメン,赤穂市,赤穂の塩を使った塩ラーメン,
other_genre_gap,島根県・鳥取県,山陰ちゃんぽん,,,ちゃんぽん/冷麺/焼きそば/太平燕等、スープ+中華麺のラーメンに該当しない別ジャンルで、かつ既存DBにも未収録
other_genre_gap,佐賀県,佐賀ちゃんぽん,,,ちゃんぽん/冷麺/焼きそば/太平燕等、スープ+中華麺のラーメンに該当しない別ジャンルで、かつ既存DBにも未収録
other_genre_gap,熊本県,天草ちゃんぽん,,,ちゃんぽん/冷麺/焼きそば/太平燕等、スープ+中華麺のラーメンに該当しない別ジャンルで、かつ既存DBにも未収録
other_genre_gap,兵庫県,尼崎あんかけちゃんぽん,,,ちゃんぽん/冷麺/焼きそば/太平燕等、スープ+中華麺のラーメンに該当しない別ジャンルで、かつ既存DBにも未収録
other_genre_gap,滋賀県,近江ちゃんぽん,,,ちゃんぽん/冷麺/焼きそば/太平燕等、スープ+中華麺のラーメンに該当しない別ジャンルで、かつ既存DBにも未収録
